ticker,date,breakout_date,lead_days,breakout_day_ret_pct,top_rank,rank_weight,post_break_close_drawdown_pct,post_break_high_entry_drawdown_pct,safe_after_break,future_breakout,future_max_ret_pct,Open,High,Low,Close,Volume,vol_ratio_20,value_traded,dist_to_10d_high_pct,dist_to_20d_high_pct,range_10d_pct,close_pos_day,rsi14,macd_hist,macd_bullish,adx14,cmf20,obv_slope_5_pct,price_vs_sma20_pct,price_vs_sma50_pct,intraday_range_pct,consecutive_up
BRMS,2026-07-17,2026-07-21,2,7.826086956521738,13,0.6,-7.258064516129037,-7.258064516129037,0,1,7.826086956521738,560.0,560.0,535.0,545.0,441276500.0,0.9920556569939462,240495692500.0,10.091743119266056,22.93577981651376,23.486238532110093,0.399999999984,49.078890302293175,11.080702662866553,1,24.69741805286597,-0.2429341032662226,55.83839120057944,3.0927835051546433,-7.799018778548472,4.587155963302752,0
BRMS,2026-07-16,2026-07-21,3,7.826086956521738,13,0.6,-7.258064516129037,-7.258064516129037,0,1,7.826086956521738,560.0,580.0,550.0,560.0,338829700.0,0.7431442209135506,189744632000.0,7.142857142857142,22.321428571428573,22.857142857142858,0.3333333333222222,51.61833562061984,11.782176362771747,1,26.489522325399044,-0.2585269039492262,89.73770944915758,4.790419161676651,-6.134763660744221,5.357142857142857,1
MBSS,2026-07-20,2026-07-21,1,7.78210116731517,14,0.6,-6.859205776173283,-12.542372881355934,0,1,7.78210116731517,2570.0,2610.0,2560.0,2570.0,473300.0,0.45434909907747795,1216381000.0,4.280155642023346,7.392996108949417,10.505836575875486,0.19999999999600002,53.4072399736873,-10.429940644703272,0,12.86404134971494,-0.04059658729049863,0.12069408994677586,-0.058331713007972,5.358094535317502,1.9455252918287937,1
MBSS,2026-07-17,2026-07-21,2,7.78210116731517,14,0.6,-6.859205776173283,-12.542372881355934,0,1,7.78210116731517,2630.0,2630.0,2560.0,2560.0,755000.0,0.7104779022551786,1932800000.0,5.078125,7.8125,10.9375,0.0,52.56124317432118,-11.557656413613081,0,13.52731643984671,-0.054426877344073823,-9.243980134939948,-0.5052467936261174,5.103255737570316,2.734375,0
MBSS,2026-07-16,2026-07-21,3,7.78210116731517,14,0.6,-6.859205776173283,-12.542372881355934,0,1,7.78210116731517,2520.0,2670.0,2500.0,2620.0,684200.0,0.6457245053487917,1792604000.0,3.435114503816794,5.343511450381679,11.450381679389313,0.7058823529370243,58.476873008696664,-11.948865968692012,0,14.241612690757846,-0.022593524668203975,5.694386735521655,1.7080745341614907,7.743553892338702,6.488549618320611,1
BKDP,2026-07-20,2026-07-21,1,6.896551724137923,15,0.6,-4.516129032258065,-6.91823899371069,0,1,6.896551724137923,151.0,151.0,142.0,145.0,18716700.0,0.8556012103954677,2713921500.0,18.620689655172416,18.620689655172416,65.51724137931035,0.3333333332962963,62.39908396244385,5.856263264574235,1,50.75236541663836,0.2712782273802542,42.89206914050437,23.72013651877133,23.048200950441274,6.206896551724138,0
BKDP,2026-07-17,2026-07-21,2,6.896551724137923,15,0.6,-4.516129032258065,-6.91823899371069,0,1,6.896551724137923,164.0,164.0,148.0,151.0,19371300.0,0.9251009806271926,2925066300.0,13.90728476821192,13.90728476821192,63.576158940397356,0.18749999998828126,66.25186745105673,6.403918184031364,1,51.896355213556774,0.2982995190290078,368.5953248906639,29.94836488812392,29.258688580722485,10.596026490066226,0
BKDP,2026-07-16,2026-07-21,3,6.896551724137923,15,0.6,-4.516129032258065,-6.91823899371069,0,1,6.896551724137923,147.0,162.0,138.0,156.0,44317100.0,2.2190620994993013,6913467600.0,10.256410256410255,10.256410256410255,61.53846153846154,0.74999999996875,69.57609312086652,6.120001176952856,1,52.50737537818464,0.34307801508095165,2393.9375335074274,35.77023498694516,34.854771784232355,15.384615384615385,1
MLPL,2026-07-20,2026-07-21,1,6.818181818181812,16,0.6,-1.0638297872340385,-5.102040816326525,1,1,6.818181818181812,90.0,91.0,88.0,88.0,19828500.0,0.9812861066248256,1744908000.0,7.954545454545454,7.954545454545454,17.045454545454543,0.0,59.93926770493915,1.3338755801681328,1,26.62472688338908,-0.05951795391379037,22.398542322345534,7.777097366809546,5.011933174224347,3.4090909090909087,0
MLPL,2026-07-17,2026-07-21,2,6.818181818181812,16,0.6,-1.0638297872340385,-5.102040816326525,1,1,6.818181818181812,91.0,95.0,89.0,90.0,75039000.0,3.7601734994432823,6753510000.0,5.555555555555555,5.555555555555555,16.666666666666664,0.16666666663888888,65.20871558161089,1.4122245745886288,1,25.742055390763287,-0.003158165218454727,29.01503212827602,10.633066994468354,6.96458283812693,6.666666666666667,0
