ticker,date,Open,High,Low,Close,Volume,future_breakout,future_max_ret_pct,sample_weight,vol_ratio_20,value_traded,dist_to_10d_high_pct,dist_to_20d_high_pct,range_10d_pct,close_pos_day,rsi14,macd_hist,macd_bullish,adx14,cmf20,obv_slope_5_pct,price_vs_sma20_pct,price_vs_sma50_pct,intraday_range_pct,consecutive_up,positive_top_rank
PPRE,2026-07-17,112.0,117.0,110.0,113.0,115529500.0,0,,1.0,1.215534584491698,13054833500.0,7.964601769911504,7.964601769911504,20.353982300884958,0.4285714285102041,58.62656678779881,1.6254908792413345,1,38.3369170279161,-0.050903854796045804,45.9367576638564,8.60163382988948,9.81535471331389,6.1946902654867255,1,
PPRE,2026-07-20,113.0,117.0,113.0,114.0,38395000.0,0,,1.0,0.40852772226882006,4377030000.0,7.017543859649122,7.017543859649122,19.298245614035086,0.2499999999375,59.41758610742812,1.642776534546267,1,39.517418411680495,-0.058168169071544304,46.27694007845255,9.038737446197995,11.241217798594844,3.508771929824561,2,
PPRE,2026-07-21,118.0,122.0,113.0,114.0,90818300.0,0,,1.0,1.208009189660993,10353286200.0,7.017543859649122,7.017543859649122,19.298245614035086,0.11111111109876542,59.41758610620472,1.5573143510772032,1,40.93479886355477,-0.0575919264200345,46.27694007845255,8.934543717152406,11.480539800508502,7.894736842105263,0,
PPRE,2026-07-22,115.0,117.0,111.0,113.0,48577900.0,0,,1.0,0.6545346166161833,5489302700.0,7.964601769911504,7.964601769911504,19.469026548672566,0.33333333327777775,58.128668160557055,1.3445647834619594,1,41.78252467767509,-0.04182922116506247,2.4052248560970906,7.363420427553444,10.762595569496183,5.3097345132743365,0,
PPRE,2026-07-23,111.0,118.0,110.0,111.0,103416100.0,0,,1.0,1.3644314584161232,11479187100.0,9.90990990990991,9.90990990990991,18.91891891891892,0.124999999984375,55.53398813705474,0.9963044343800198,1,42.56969864792968,-0.11583403796646358,0.11844780547293286,5.213270142180095,9.058754175673018,7.207207207207207,0,
PPRE,2026-07-24,111.0,113.0,103.0,105.0,50028600.0,0,,1.0,0.6909792366875906,5253003000.0,16.19047619047619,16.19047619047619,20.0,0.19999999998,48.534730271754,0.32382350111840674,1,41.73846173622022,-0.08385011191298039,-9.374998746677838,-0.5681818181818128,3.468663776113516,9.523809523809524,0,
PPRE,2026-07-27,105.0,107.0,101.0,106.0,20790500.0,0,,1.0,0.28756779171574326,2203793000.0,15.09433962264151,15.09433962264151,19.81132075471698,0.8333333331944445,49.673211261127236,-0.07063446390506378,0,40.5720987822054,-0.06647249220941705,-10.160137906730869,0.04719207173194635,4.743083003952566,5.660377358490567,1,
PPRE,2026-07-28,105.0,107.0,103.0,105.0,15309600.0,0,,1.0,0.21409497758656496,1607508000.0,16.19047619047619,16.19047619047619,20.0,0.499999999875,48.51738229274919,-0.3976292177036256,0,39.489047467763065,-0.056334994348824094,-11.018416585270083,-1.4084507042253522,4.063429137760153,3.8095238095238098,0,
PRDA,2026-07-16,2410.0,2410.0,2360.0,2390.0,528800.0,0,,1.0,0.4216149414977373,1263832000.0,19.246861924686193,19.246861924686193,21.338912133891213,0.599999999988,43.67420896575302,-18.014404689697987,0,21.170430583007352,-0.15207266872469877,-77.03947567126762,-4.4382247101159535,-4.864262399490479,2.092050209205021,0,
PRDA,2026-07-17,2390.0,2410.0,2360.0,2390.0,564600.0,0,,1.0,0.46044315410900216,1349394000.0,19.246861924686193,19.246861924686193,21.338912133891213,0.599999999988,43.67420896569541,-17.708339420978113,0,19.98947143941727,-0.14002142884558547,-70.10264679277932,-4.131568391496189,-4.818797291915571,2.092050209205021,0,
